3.9998 0 0.0399993,3.9998 5 0.0399993,4 0 0
3.9998 5 0.0399993,4 0 0,4 5 0
3.9992 0 0.0799947,3.9992 5 0.0799947,3.9998 0 0.0399993
3.9992 5 0.0799947,3.9998 0 0.0399993,3.9998 5 0.0399993
3.9982 0 0.119982,3.9982 5 0.119982,3.9992 0 0.0799947
3.9982 5 0.119982,3.9992 0 0.0799947,3.9992 5 0.0799947
3.9968 0 0.159957,3.9968 5 0.159957,3.9982 0 0.119982
3.9968 5 0.159957,3.9982 0 0.119982,3.9982 5 0.119982
3.995 0 0.199917,3.995 5 0.199917,3.9968 0 0.159957
3.995 5 0.199917,3.9968 0 0.159957,3.9968 5 0.159957
3.9928 0 0.239856,3.9928 5 0.239856,3.995 0 0.199917
3.9928 5 0.239856,3.995 0 0.199917,3.995 5 0.199917
3.9902 0 0.279771,3.9902 5 0.279771,3.9928 0 0.239856
3.9902 5 0.279771,3.9928 0 0.239856,3.9928 5 0.239856
3.98721 0 0.319659,3.98721 5 0.319659,3.9902 0 0.279771
3.98721 5 0.319659,3.9902 0 0.279771,3.9902 5 0.279771
3.98381 0 0.359514,3.98381 5 0.359514,3.98721 0 0.319659
3.98381 5 0.359514,3.98721 0 0.319659,3.98721 5 0.319659
3.98002 0 0.399334,3.98002 5 0.399334,3.98381 0 0.359514
3.98002 5 0.399334,3.98381 0 0.359514,3.98381 5 0.359514
3.97582 0 0.439113,3.97582 5 0.439113,3.98002 0 0.399334
3.97582 5 0.439113,3.98002 0 0.399334,3.98002 5 0.399334
3.97123 0 0.478849,3.97123 5 0.478849,3.97582 0 0.439113
3.97123 5 0.478849,3.97582 0 0.439113,3.97582 5 0.439113
3.96625 0 0.518537,3.96625 5 0.518537,3.97123 0 0.478849
3.96625 5 0.518537,3.97123 0 0.478849,3.97123 5 0.478849
3.96086 0 0.558172,3.96086 5 0.558172,3.96625 0 0.518537
3.96086 5 0.558172,3.96625 0 0.518537,3.96625 5 0.518537
3.95508 0 0.597753,3.95508 5 0.597753,3.96086 0 0.558172
3.95508 5 0.597753,3.96086 0 0.558172,3.96086 5 0.558172
3.94891 0 0.637273,3.94891 5 0.637273,3.95508 0 0.597753
3.94891 5 0.637273,3.95508 0 0.597753,3.95508 5 0.597753
3.94234 0 0.676729,3.94234 5 0.676729,3.94891 0 0.637273
3.94234 5 0.676729,3.94891 0 0.637273,3.94891 5 0.637273
3.93537 0 0.716118,3.93537 5 0.716118,3.94234 0 0.676729
3.93537 5 0.716118,3.94234 0 0.676729,3.94234 5 0.676729
3.92802 0 0.755436,3.92802 5 0.755436,3.93537 0 0.716118
3.92802 5 0.755436,3.93537 0 0.716118,3.93537 5 0.716118
3.92027 0 0.794677,3.92027 5 0.794677,3.92802 0 0.755436
3.92027 5 0.794677,3.92802 0 0.755436,3.92802 5 0.755436
3.91212 0 0.83384,3.91212 5 0.83384,3.92027 0 0.794677
3.91212 5 0.83384,3.92027 0 0.794677,3.92027 5 0.794677
3.90359 0 0.872918,3.90359 5 0.872918,3.91212 0 0.83384
3.90359 5 0.872918,3.91212 0 0.83384,3.91212 5 0.83384
3.89467 0 0.91191,3.89467 5 0.91191,3.90359 0 0.872918
3.89467 5 0.91191,3.90359 0 0.872918,3.90359 5 0.872918
3.88535 0 0.950811,3.88535 5 0.950811,3.89467 0 0.91191
3.88535 5 0.950811,3.89467 0 0.91191,3.89467 5 0.91191
3.87565 0 0.989616,3.87565 5 0.989616,3.88535 0 0.950811
3.87565 5 0.989616,3.88535 0 0.950811,3.88535 5 0.950811
3.86556 0 1.02832,3.86556 5 1.02832,3.87565 0 0.989616
3.86556 5 1.02832,3.87565 0 0.989616,3.87565 5 0.989616
3.85508 0 1.06693,3.85508 5 1.06693,3.86556 0 1.02832
3.85508 5 1.06693,3.86556 0 1.02832,3.86556 5 1.02832
3.84422 0 1.10542,3.84422 5 1.10542,3.85508 0 1.06693
3.84422 5 1.10542,3.85508 0 1.06693,3.85508 5 1.06693
3.83298 0 1.14381,3.83298 5 1.14381,3.84422 0 1.10542
3.83298 5 1.14381,3.84422 0 1.10542,3.84422 5 1.10542
3.82135 0 1.18208,3.82135 5 1.18208,3.83298 0 1.14381
3.82135 5 1.18208,3.83298 0 1.14381,3.83298 5 1.14381
3.80933 0 1.22023,3.80933 5 1.22023,3.82135 0 1.18208
3.80933 5 1.22023,3.82135 0 1.18208,3.82135 5 1.18208
3.79694 0 1.25827,3.79694 5 1.25827,3.80933 0 1.22023
