-90;508,841;5,50921;514,35
-85;522,802;5,47645;528,279
-80;537,295;5,43947;542,735
-75;552,205;5,39782;557,603
-70;567,415;5,351;572,766
-65;582,806;5,29839;588,105
-60;598,262;5,23929;603,501
-55;613,666;5,17286;618,839
-50;628,904;5,09811;634,002
-45;643,864;5,01385;648,877
-40;658,437;4,91866;663,356
-35;672,52;4,81082;677,331
-30;686,012;4,68827;690,7
-25;698,816;4,54849;703,365
-20;710,843;4,38843;715,232
-15;722,009;4,20438;726,213
-10;732,235;3,99178;736,227
-5;741,45;3,7451;745,195
0;749,59;3,45762;753,048
5;756,599;3,12124;759,72
10;762,427;2,72656;765,154
15;767,034;2,2636;769,298
20;770,389;1,72596;772,115
25;772,468;1,1342;773,602
30;773,256;0,708274;773,964
35;772,749;1,01013;773,759
40;770,949;1,60023;772,549
45;767,869;2,15341;770,022
50;763,531;2,63232;766,163
55;757,964;3,04098;761,005
60;751,208;3,38915;754,597
65;743,308;3,6865;746,995
70;734,321;3,94141;738,262
75;724,308;4,16088;728,469
80;713,34;4,35071;717,691
85;701,492;4,51563;706,008
90;688,849;4,65953;693,509
