-90;0,0868469;23,3354;23,4223
-85;16,0511;23,3226;39,3737
-80;50,5881;23,2861;73,8742
-75;94,9529;23,2236;118,177
-70;143,961;23,1326;167,094
-65;194,517;23,01;217,527
-60;244,771;22,8522;267,623
-55;293,618;22,6547;316,272
-50;340,39;22,4122;362,803
-45;384,678;22,1179;406,796
-40;426,21;21,7631;447,973
-35;464,791;21,3358;486,127
-30;500,267;20,8198;521,087
-25;532,5;20,1928;552,693
-20;561,367;19,4234;580,79
-15;586,749;18,4679;605,217
-10;608,537;17,2652;625,803
-5;626,634;15,7309;642,365
0;640,954;13,7537;654,708
5;651,428;11,212;662,64
10;658,002;8,12626;666,128
15;660,642;5,68655;666,329
20;659,337;7,08001;666,417
25;654,091;10,2144;664,305
30;644,932;12,9619;657,894
35;631,907;15,1177;647,024
40;615,079;16,7882;631,867
45;594,529;18,0923;612,621
50;570,351;19,1235;589,475
55;542,651;19,9502;562,601
60;511,543;20,6214;532,165
65;477,15;21,1721;498,322
70;439,603;21,6273;461,231
75;399,051;22,0052;421,056
80;355,67;22,3188;377,989
85;309,701;22,578;332,279
90;261,498;22,79;284,288
