#tr	v1,v2,v3,direction	plane	beta(rad)	Z_S(rad)	Area(m^2)
0	<-0.9,0,-0.136619>,<-0.9,3,-0.136619>,<-0.85,0,-0.473652>,1	<-1.0111,0,-0.15>	1.42352	1.5708	0.511082
1	<-0.9,3,-0.136619>,<-0.85,0,-0.473652>,<-0.85,3,-0.473652>,1	<1.0111,-0,0.15>	1.42352	1.5708	0.511082
2	<-0.85,0,-0.473652>,<-0.85,3,-0.473652>,<-0.8,0,-0.796912>,1	<-0.96978,0,-0.15>	1.41734	1.5708	0.490656
3	<-0.85,3,-0.473652>,<-0.8,0,-0.796912>,<-0.8,3,-0.796912>,1	<0.96978,-0,0.15>	1.41734	1.5708	0.490656
4	<-0.8,0,-0.796912>,<-0.8,3,-0.796912>,<-0.75,0,-1.097>,1	<-0.900264,0,-0.15>	1.4057	1.5708	0.456337
5	<-0.8,3,-0.796912>,<-0.75,0,-1.097>,<-0.75,3,-1.097>,1	<0.900264,-0,0.15>	1.4057	1.5708	0.456337
6	<-0.75,0,-1.097>,<-0.75,3,-1.097>,<-0.7,0,-1.36518>,1	<-0.80454,0,-0.15>	1.38647	1.5708	0.409202
7	<-0.75,3,-1.097>,<-0.7,0,-1.36518>,<-0.7,3,-1.36518>,1	<0.80454,-0,0.15>	1.38647	1.5708	0.409202
8	<-0.7,0,-1.36518>,<-0.7,3,-1.36518>,<-0.65,0,-1.59367>,1	<-0.68547,0,-0.15>	1.35536	1.5708	0.350845
9	<-0.7,3,-1.36518>,<-0.65,0,-1.59367>,<-0.65,3,-1.59367>,1	<0.68547,-0,0.15>	1.35536	1.5708	0.350845
10	<-0.65,0,-1.59367>,<-0.65,3,-1.59367>,<-0.6,0,-1.77581>,1	<-0.54642,0,-0.15>	1.30288	1.5708	0.283317
11	<-0.65,3,-1.59367>,<-0.6,0,-1.77581>,<-0.6,3,-1.77581>,1	<0.54642,-0,0.15>	1.30288	1.5708	0.283317
12	<-0.6,0,-1.77581>,<-0.6,3,-1.77581>,<-0.55,0,-1.90631>,1	<-0.3915,0,-0.15>	1.20491	1.5708	0.209626
13	<-0.6,3,-1.77581>,<-0.55,0,-1.90631>,<-0.55,3,-1.90631>,1	<0.3915,-0,0.15>	1.20491	1.5708	0.209626
14	<-0.55,0,-1.90631>,<-0.55,3,-1.90631>,<-0.5,0,-1.98138>,1	<-0.22521,0,-0.15>	0.983224	1.5708	0.135296
15	<-0.55,3,-1.90631>,<-0.5,0,-1.98138>,<-0.5,3,-1.98138>,1	<0.22521,-0,0.15>	0.983224	1.5708	0.135296
16	<-0.5,0,-1.98138>,<-0.5,3,-1.98138>,<-0.45,0,-1.99883>,1	<-0.0523499,0,-0.15>	0.335783	1.5708	0.0794363
17	<-0.5,3,-1.98138>,<-0.45,0,-1.99883>,<-0.45,3,-1.99883>,1	<0.0523499,-0,0.15>	0.335783	1.5708	0.0794363
18	<-0.45,0,-1.99883>,<-0.45,3,-1.99883>,<-0.4,0,-1.95816>,-1	<0.12201,-0,-0.15>	0.682858	-1.5708	0.0966778
19	<-0.45,3,-1.99883>,<-0.4,0,-1.95816>,<-0.4,3,-1.95816>,-1	<-0.12201,-0,0.15>	0.682858	-1.5708	0.0966778
20	<-0.4,0,-1.95816>,<-0.4,3,-1.95816>,<-0.35,0,-1.86054>,-1	<0.29286,-0,-0.15>	1.09744	-1.5708	0.16452
21	<-0.4,3,-1.95816>,<-0.35,0,-1.86054>,<-0.35,3,-1.86054>,-1	<-0.29286,-0,0.15>	1.09744	-1.5708	0.16452
22	<-0.35,0,-1.86054>,<-0.35,3,-1.86054>,<-0.3,0,-1.70882>,-1	<0.45516,-0,-0.15>	1.25245	-1.5708	0.23962
23	<-0.35,3,-1.86054>,<-0.3,0,-1.70882>,<-0.3,3,-1.70882>,-1	<-0.45516,-0,0.15>	1.25245	-1.5708	0.23962
24	<-0.3,0,-1.70882>,<-0.3,3,-1.70882>,<-0.25,0,-1.5074>,-1	<0.60426,-0,-0.15>	1.32748	-1.5708	0.3113
25	<-0.3,3,-1.70882>,<-0.25,0,-1.5074>,<-0.25,3,-1.5074>,-1	<-0.60426,-0,0.15>	1.32748	-1.5708	0.3113
26	<-0.25,0,-1.5074>,<-0.25,3,-1.5074>,<-0.2,0,-1.26215>,-1	<0.73575,-0,-0.15>	1.36968	-1.5708	0.375442
27	<-0.25,3,-1.5074>,<-0.2,0,-1.26215>,<-0.2,3,-1.26215>,-1	<-0.73575,-0,0.15>	1.36968	-1.5708	0.375442
28	<-0.2,0,-1.26215>,<-0.2,3,-1.26215>,<-0.15,0,-0.980201>,-1	<0.845847,-0,-0.15>	1.39528	-1.5708	0.429522
29	<-0.2,3,-1.26215>,<-0.15,0,-0.980201>,<-0.15,3,-0.980201>,-1	<-0.845847,-0,0.15>	1.39528	-1.5708	0.429522
30	<-0.15,0,-0.980201>,<-0.15,3,-0.980201>,<-0.1,0,-0.669745>,-1	<0.931368,-0,-0.15>	1.41111	-1.5708	0.471685
31	<-0.15,3,-0.980201>,<-0.1,0,-0.669745>,<-0.1,3,-0.669745>,-1	<-0.931368,-0,0.15>	1.41111	-1.5708	0.471685
